Player,Cl,Ht,Pos,G,BLKS,BKPG,AST,FGM,3FG,FT,PTS,PPG,FTA,FT%,ORebs,DRebs,REB,ST,3PG,STPG,3FGA,RPG,MP,FGA,Trpl Dbl,FG%,3FG%,MPG,APG,Dbl Dbl,TO,Ratio
"Dominik Fragala, Delaware St. (MEAC)",,,,,,,,,,,,,78.0,83.3,,,,,2.2,,,,,,,,,,,,,
"Michael Akuchie, Youngstown St. (Horizon)",,,,,,,,,,,,,132.0,82.6,97.0,167.0,264.0,,,,,4.91,1056:47,361.0,,,,,,8.0,,
"Coryon Mason, Abilene Christian (WAC)",,,,,,,,,,,,,147.0,82.3,,,,,,,,,,,,,,,,,,
"Xavier Castaneda, Akron (MAC)",,,,,,,,,,,,,130.0,82.3,,,,,2.21,,201.0,,1088:53,,,,,,,,,
"Caleb Asberry, Texas St. (Sun Belt)",,,,,,,,,,,,,100.0,82.0,,,,,2.17,1.28,163.0,,,,,,,,,,,
"Jules Bernard, UCLA (Pac-12)",,,,,,,,,,,,,121.0,81.8,,,,,,,,,1051:49,351.0,,,,,,,,
"Josh Anderson, Western Ky. (C-USA)",,,,,,,,,,,,,97.0,81.4,,,,69.0,,2.38,,,,,,,,,,,,
"Efe Odigie, Troy (Sun Belt)",,,,,,,,,,,,,105.0,81.0,61.0,146.0,207.0,,,,,4.71,,,,,,,,5.0,,
"Jalen Gabbidon, Yale (Ivy League)",,,,,,,,,,,,,108.0,80.6,,,,44.0,,1.42,,,,,,,,,,,,
"Cameron Christon, Grambling (SWAC)",,,,,,,,,,,,,113.0,80.5,,,,,,,,,,,,,,,,,,
"Shykeim Phillips, UNCW (CAA)",,,,,,,,,,,,,117.0,80.3,,,,65.0,,1.81,,,1023:36,,,,,,,,,
"Malik Curry, West Virginia (Big 12)",,,,,,,,,,,,,122.0,80.3,,,,,,,,,,,,,,,,,,
"Jordan Wright, Vanderbilt (SEC)",,,,,,,,,,,,,116.0,80.2,53.0,176.0,229.0,50.0,,1.39,,4.89,1099:26,359.0,,,,,,7.0,,
"Dillon Jones, Weber St. (Big Sky)",,,,,,,,,,,,,120.0,80.0,51.0,299.0,350.0,59.0,,1.79,,9.06,1119:53,,,,,33:56,,17.0,,
"Micah Parrish, Oakland (Horizon)",,,,,,,,,,,,,110.0,80.0,,,,51.0,,1.7,,,1029:17,,,,,34:19,,,,
"Colton Sandage, Western Ill. (Summit League)",,,,,,,,,,,,,99.0,79.8,,,,,2.1,,185.0,,,,,,,,,,,
"Matthias Tass, Saint Mary's (CA) (WCC)",,,,,,,,,,,,,108.0,79.6,72.0,135.0,207.0,,,,,,,,,55.9,,,,4.0,,
"Phlandrous Fleming Jr., Florida (SEC)",,,,,,,,,,,,,117.0,79.5,,,,51.0,,1.5,,,,,,,,,,,,
"Brandon Whitney, Montana (Big Sky)",,,,,,,,,,,,,120.0,79.2,,,,,,,,,,,,,,,,,,
"Jomaru Brown, Eastern Ky. (ASUN)",,,,,,,,,,,,,105.0,79.0,,,,51.0,,1.76,,,,,,,,,,,,
"Bryce McBride, Eastern Mich. (MAC)",,,,,,,,,,,,,105.0,79.0,,,,,,,,,,,,,,,,,,
"Isaac Mushila, A&M-Corpus Christi (Southland)",,,,,,,,,,,,,201.0,78.6,125.0,205.0,330.0,41.0,,,,5.86,,,,,,,,13.0,,
"William Douglas, Prairie View (SWAC)",,,,,,,,,,,,,107.0,78.5,,,,,,1.31,,,,,,,,,,,,
"Joe Kasperzyk, Southeastern La. (Southland)",,,,,,,,,,,,,110.0,78.2,,,,49.0,,1.58,,,,,,,,,,,,
"Au'Diese Toney, Arkansas (SEC)",,,,,,,,,,,,,151.0,78.1,82.0,106.0,188.0,,,,,,1165:50,,,,,32:23,,3.0,,
"Will Martinez, Wagner (NEC)",,,,,,,,,,,,,103.0,77.7,,,,,,,,,,,,,,,3.0,,56.0,1.39
"Brandon Suggs, East Carolina (AAC)",,,,,,,,,,,,,107.0,77.6,,,,,,1.5,,,,,,,,,,,,
"Randy Miller Jr., N.C. Central (MEAC)",,,,,,,,,,,,,112.0,76.8,,,,,,,,,,,,,,,,,,
"DeeJuan Pruitt, SIUE (OVC)",,,,,,,,,,,,,116.0,76.7,61.0,144.0,205.0,,,,,4.8,,,,,,,,3.0,,
"Marcus Shaver Jr., Boise St. (Mountain West)",,,,,,,,,,,,,119.0,76.5,,,,,,,162.0,,1125:24,373.0,,,,33:06,,,,
"Shaun Doss Jr., SIUE (OVC)",,,,,,,,,,,,,109.0,76.1,,,,,,,,,1021:15,,,,,,,,,
"Avery Anderson, III, Oklahoma St. (Big 12)",,,,,,,,,,,,,113.0,76.1,,,,53.0,,1.77,,,,,,,,,,,,
"Micheal Anumba, Winthrop (Big South)",,,,,,,,,,,,,113.0,76.1,,,,,,,,,,,,,,,,,,
"Davonte Gaines, George Mason (Atlantic 10)",,,,,,,,,,,,,113.0,76.1,66.0,177.0,243.0,,,,,5.9,,,,,,32:58,,6.0,,
"Jacob Ognacevic, Lipscomb (ASUN)",,,,,,,,,,,,,116.0,75.9,,,,,,,,,,,,,,,,,,
"Dimencio Vaughn, Rider (MAAC)",,,,,,,,,,,,,119.0,74.8,68.0,178.0,246.0,63.0,,1.91,,5.39,1028:07,349.0,,,,,,6.0,,
"Michael Cubbage, St. Francis Brooklyn (NEC)",,,,,,,,,,,,,105.0,74.3,,,,51.0,,1.89,,4.52,,,,,,,,3.0,,
"Michael Carter III, Portland St. (Big Sky)",,,,,,,,,,,,,97.0,74.2,,,,,,,,,,,,,,,,,,
"Justin Wright, N.C. Central (MEAC)",,,,,,,,,,,,,126.0,73.8,,,,,,1.36,,,,,,,,,,,,
"Tyrone Lyons, Southern U. (SWAC)",,,,,,,,,,,,,145.0,73.8,,,,50.0,,1.61,,,,,,,,,,3.0,,
"Anthony Gaines, Siena (MAAC)",,,,,,,,,,,,,99.0,73.7,28.0,171.0,199.0,,,,,6.11,,,,,,33:32,,3.0,,
"Braelen Bridges, Georgia (SEC)",,,,,,,,,,,,,124.0,73.4,,,,,,,,,,,,63.4,,,,,,
"Timmy Allen, Texas (Big 12)",,,,,,,,,,,,,145.0,73.1,88.0,129.0,217.0,42.0,,,,,,,,,,,,3.0,,
"Jermaine Marshall, Samford (SoCon)",,,,,,,,,,,,,130.0,73.1,75.0,162.0,237.0,,,,,5.59,,,,,,,,11.0,,
"Bas Leyte, UNC Greensboro (SoCon)",,,,,,,,,,,,,107.0,72.9,,,,,,,,,,,,,,,,,,
"Caleb Fuller, UC Davis (Big West)",,,,,,,,,,,,,81.0,72.8,,,,,,,,4.77,,,,,,,,,,
"Desi Sills, Arkansas St. (Sun Belt)",,,,,,,,,,,,,99.0,72.7,,,,51.0,,1.82,,,,,,,,,,,,
"Aminu Mohammed, Georgetown (Big East)",,,,,,,,,,,,,169.0,72.2,99.0,154.0,253.0,51.0,,1.65,,4.97,,377.0,,,,32:33,,11.0,,
"K.D. Johnson, Auburn (SEC)",,,,,,,,,,,,,147.0,72.1,,,,64.0,,1.88,,,,,,,,,,,,
"C.J. Roberts, Lamar University (WAC)",,,,,,,,,,,,,107.0,72.0,,,,,,,,,,,,,,,,,,
"Trae Hannibal, Murray St. (OVC)",,,,,,,,,,,,,131.0,71.8,,,,40.0,,,,,,,,,,,,,,
"Marcus Weathers, SMU (AAC)",,,,,,,,,,,,,133.0,71.4,68.0,179.0,247.0,,,,,5.42,,,,,,,,8.0,,
"Mark Smith, Kansas St. (Big 12)",,,,,,,,,,,,,127.0,70.9,54.0,206.0,260.0,,,,,6.65,,,,,,,,8.0,,
"Kylen Milton, Ark.-Pine Bluff (SWAC)",,,,,,,,,,,,,129.0,70.5,,,,,,,,,,,,,,,,,,
"Ricky Clemons, Campbell (Big South)",,,,,,,,,,,,,105.0,70.5,,,,,,,,,,,,,,33:59,,,,
"Darious Hall, Central Ark. (ASUN)",,,,,,,,,,,,,91.0,70.3,,,,,,,,5.48,,,,,,,,6.0,,
"Payton Sparks, Ball St. (MAC)",,,,,,,,,,,,,202.0,70.3,97.0,165.0,262.0,,,,,5.32,,,,,,,,12.0,,
"Kur Jongkuch, Northern Colo. (Big Sky)",,,,,,,,,,,,,,,90.0,236.0,326.0,,,,,6.21,1026:53,,,,,,,9.0,,
"John Harrar, Penn St. (Big Ten)",,,,,,,,,,,,,,,113.0,207.0,320.0,,,,,6.68,,,,,,,,12.0,,
"Austin Trice, Old Dominion (C-USA)",,,,,,,,,,,,,,,92.0,195.0,287.0,,,,,6.09,,,,54.2,,,,12.0,,
"Jalen Wilson, Kansas (Big 12)",,,,,,,,,,,,,,,59.0,216.0,275.0,,,,,5.84,1088:13,,,,,,,7.0,,
"Supreme Cook, Fairfield (MAAC)",,,,,,,,,,,,,,,95.0,179.0,274.0,,,,,5.42,,,,,,,,7.0,,
"Markeese Hastings, Western Mich. (MAC)",,,,,,,,,,,,,,,93.0,179.0,272.0,,,,,5.77,,,,,,,,4.0,,
"Maizen Fausett, Southern Utah (Big Sky)",,,,,,,,,,,,,,,93.0,174.0,267.0,,,,,5.12,1022:43,,,,,,,6.0,,
"Kassim Nicholson, Tennessee St. (OVC)",,,,,,,,,,,,,,,88.0,179.0,267.0,,,,,5.59,,,,,,,,11.0,,
"Race Thompson, Indiana (Big Ten)",,,,,,,,,,,,,,,70.0,193.0,263.0,,,,,5.51,,,,,,,,5.0,,
"Darius Days, LSU (SEC)",,,,,,,,,,,,,,,68.0,191.0,259.0,51.0,2.09,1.55,197.0,5.79,,378.0,,,,,,9.0,,
"Garrett Sturtz, Drake (MVC)",,,,,,,,,,,,,,,73.0,182.0,255.0,52.0,,1.44,,5.06,1081:07,,,,,,,6.0,,
"Tyrece Radford, Texas A&M (SEC)",,,,,,,,,,,,,,,91.0,158.0,249.0,46.0,,,,,1202:48,,,,,,,,,
"Jermaine Samuels, Villanova (Big East)",,,,,,,,,,,,,,,76.0,171.0,247.0,,,,,4.5,1131:15,,,,,,,4.0,,
"Eric Dixon, Villanova (Big East)",,,,,,,,,,,,,,,124.0,121.0,245.0,,,,,,,,,,,,,3.0,,
"Henry Coleman III, Texas A&M (SEC)",,,,,,,,,,,,,,,102.0,141.0,243.0,50.0,,1.28,,,1044:18,,,,,,,5.0,,
"Paul Atkinson Jr., Notre Dame (ACC)",,,,,,,,,,,,,,,88.0,153.0,241.0,,,,,4.37,,,,58.7,,,,7.0,,
"Nate Roberts, Washington (Pac-12)",,,,,,,,,,,,,,,100.0,139.0,239.0,,,,,4.34,,,,,,,,4.0,,
"KJ Buffen, UAB (C-USA)",,,,,,,,,,,,,,,89.0,149.0,238.0,,,,,,,,,,,,,8.0,,
"Nikkei Rutty, Monmouth (MAAC)",,,,,,,,,,,,,,,62.0,176.0,238.0,,,,,5.5,,,,,,,,,,
"Nico Galette, Sacred Heart (NEC)",,,,,,,,,,,,,,,78.0,158.0,236.0,,,,,5.27,,,,,,,,7.0,,
"Manny Littles, Nicholls (Southland)",,,,,,,,,,,,,,,84.0,152.0,236.0,,,,,5.07,,,,,,,,7.0,,
"Ejike Obinna, Saint Joseph's (Atlantic 10)",,,,,,,,,,,,,,,84.0,152.0,236.0,,,,,5.07,,,,57.4,,,,9.0,,
"Alexis Yetna, Seton Hall (Big East)",,,,,,,,,,,,,,,80.0,156.0,236.0,,,,,5.03,,,,,,,,8.0,,
"Toumani Camara, Dayton (Atlantic 10)",,,,,,,,,,,,,,,61.0,172.0,233.0,,,,,5.06,,,,,,,,5.0,,
"Abdul Mohamed, Montana St. (Big Sky)",,,,,,,,,,,,,,,46.0,181.0,227.0,,,,,5.17,,,,,,,,,,
"Angelo Allegri, Eastern Wash. (Big Sky)",,,,,,,,,,,,,,,46.0,180.0,226.0,,2.26,,207.0,5.29,1110:02,351.0,,,,32:39,,4.0,,
"Isaac Kante, LIU (NEC)",,,,,,,,,,,,,,,77.0,148.0,225.0,,,,,4.93,,,,53.6,,,,5.0,,
"Hunter Goodrick, South Dakota (Summit League)",,,,,,,,,,,,,,,66.0,158.0,224.0,,,,,5.1,,,,,,,,3.0,,
"Adrian Nelson, Northern Ky. (Horizon)",,,,,,,,,,,,,,,91.0,133.0,224.0,,,,,4.43,,,,,,,,,,
"Caleb Lohner, BYU (WCC)",,,,,,,,,,,,,,,64.0,159.0,223.0,,,,,4.54,,,,,,,,,,
"David Collins, Clemson (ACC)",,,,,,,,,,,,,,,36.0,186.0,222.0,50.0,,1.56,,5.81,,,,,,,,4.0,,
"Keshawn Justice, Santa Clara (WCC)",,,,,,,,,,,,,,,15.0,207.0,222.0,,2.33,,182.0,6.27,1127:01,,,,,34:09,,8.0,,
"Nate Laszewski, Notre Dame (ACC)",,,,,,,,,,,,,,,24.0,198.0,222.0,,,,125.0,5.82,,,,,,,,5.0,,
"Callum McRae, UC Riverside (Big West)",,,,,,,,,,,,,,,49.0,172.0,221.0,,,,,6.14,,,,,,,,8.0,,
"Chevez Goodwin, Southern California (Pac-12)",,,,,,,,,,,,,,,91.0,128.0,219.0,,,,,,,,,,,,,3.0,,
"Andre Snoddy, Central Conn. St. (NEC)",,,,,,,,,,,,,,,61.0,158.0,219.0,,,,,5.1,,,,,,,,4.0,,
"Tyrese Martin, UConn (Big East)",,,,,,,,,,,,,,,68.0,150.0,218.0,,,,,5.17,,,,,,,,5.0,,
"Ajiri Ogemuno-Johnson, Rider (MAAC)",,,,,,,,,,,,,,,65.0,153.0,218.0,,,,,4.94,,,,,,,,4.0,,
"Grant Anticevich, California (Pac-12)",,,,,,,,,,,,,,,36.0,181.0,217.0,,,,,5.66,,,,,,,,5.0,,
"Nendah Tarke, Coppin St. (MEAC)",,,,,,,,,,,,,,,30.0,187.0,217.0,94.0,,2.94,,5.84,1091:09,357.0,,,,34:06,,7.0,,
"Malik Williams, Louisville (ACC)",,,,,,,,,,,,,,,48.0,167.0,215.0,,,,,6.19,,,,,,,,8.0,,
"DJ Burns, Murray St. (OVC)",,,,,,,,,,,,,,,107.0,107.0,214.0,43.0,,,,,,,,,,,,,,
"Jordan Miller, Miami (FL) (ACC)",,,,,,,,,,,,,,,75.0,139.0,214.0,63.0,,1.75,,,1110:27,,,,,,,,,
"Tyree Corbett, Coppin St. (MEAC)",,,,,,,,,,,,,,,72.0,140.0,212.0,,,,,,,,,,,,,11.0,,
"Fousseyni Drame, Saint Peter's (MAAC)",,,,,,,,,,,,,,,62.0,150.0,212.0,,,,,4.55,,,,,,,,3.0,,
"Brandon Johnson, DePaul (Big East)",,,,,,,,,,,,,,,59.0,153.0,212.0,,,,,4.94,1037:14,,,,,33:28,,,,
"Emanuel Miller, TCU (Big 12)",,,,,,,,,,,,,,,83.0,128.0,211.0,,,,,,,,,,,,,4.0,,
"Bryce Johnson, Sacred Heart (NEC)",,,,,,,,,,,,,,,55.0,155.0,210.0,,,,,5.17,,,,,,,,5.0,,
"Yvan Ouedraogo, Grand Canyon (WAC)",,,,,,,,,,,,,,,88.0,121.0,209.0,,,,,,,,,,,,,,,
"Patrick Harding, Columbia (Ivy League)",,,,,,,,,,,,,,,72.0,136.0,208.0,,,,,5.44,,,,,,,,,,
"Ra Kpedi, Purdue Fort Wayne (Horizon)",,,,,,,,,,,,,,,94.0,114.0,208.0,,,,,,,,,,,,,,,
"Marcellus Earlington, San Diego (WCC)",,,,,,,,,,,,,,,54.0,153.0,207.0,,,,,4.94,,371.0,,,,,,5.0,,
"Trent Buttrick, Massachusetts (Atlantic 10)",,,,,,,,,,,,,,,50.0,156.0,206.0,,,,,4.88,,,,,,,,3.0,,
"Eddie Lampkin, TCU (Big 12)",,,,,,,,,,,,,,,103.0,103.0,206.0,,,,,,,,,,,,,5.0,,
"Jahsean Corbett, Chicago St. (WAC)",,,,,,,,,,,,,,,77.0,128.0,205.0,,,,,,,,,,,,,4.0,,
"Jalen Hill, Oklahoma (Big 12)",,,,,,,,,,,,,,,55.0,150.0,205.0,,,,,,1065:42,,,,,,,,,
"Quan Jackson, UAB (C-USA)",,,,,,,,,,,,,,,38.0,167.0,205.0,81.0,,2.31,,4.77,,,,,,,,4.0,,
"Gabe McGlothan, Grand Canyon (WAC)",,,,,,,,,,,,,,,54.0,151.0,205.0,,,,,4.87,,,,,,,,4.0,,
"Kevin Obanor, Texas Tech (Big 12)",,,,,,,,,,,,,,,60.0,145.0,205.0,,,,,,,,,,,,,5.0,,
"Isaiah Wilkins, Longwood (Big South)",,,,,,,,,,,,,,,44.0,160.0,204.0,52.0,1.85,1.58,155.0,4.85,,,,,,,,,,
"Alphonso Anderson, Pacific (WCC)",,,,,,,,,,,,,,,49.0,154.0,203.0,,,,,5.13,,,,,,,,3.0,,
"Jimmy Boeheim, Syracuse (ACC)",,,,,,,,,,,,,,,64.0,139.0,203.0,,,,,,1146:48,378.0,,46.6,,34:45,,5.0,,
"Winston Hill, Presbyterian (Big South)",,,,,,,,,,,,,,,81.0,122.0,203.0,,,,,,,,,,,,,,,
"Filip Rebraca, Iowa (Big Ten)",,,,,,,,,,,,,,,68.0,134.0,202.0,,,,,,,,,,,,,,,
"De'Lazarus Keys, A&M-Corpus Christi (Southland)",,,,,,,,,,,,,,,71.0,130.0,201.0,,,,,,,,,,,,,,,
"Nygal Russell, Southeast Mo. St. (OVC)",,,,,,,,,,,,,,,45.0,156.0,201.0,,,,,5.03,,,,,,,,3.0,,
"Abayomi Iyiola, Hofstra (CAA)",,,,,,,,,,,,,,,84.0,116.0,200.0,,,,,,,,,,,,,4.0,,
"Christian Ray, La Salle (Atlantic 10)",,,,,,,,,,,,,,,67.0,133.0,200.0,,,,,4.59,,,,,,,,,,
"Kevin Easley, Duquesne (Atlantic 10)",,,,,,,,,,,,,,,72.0,126.0,198.0,43.0,,1.43,,,,,,,,,,3.0,,
"Anthony Holland, Fresno St. (Mountain West)",,,,,,,,,,,,,,,46.0,152.0,198.0,,,,,4.75,1079:00,,,,,33:43,,,,
"Donta Scott, Maryland (Big Ten)",,,,,,,,,,,,,,,53.0,145.0,198.0,,,,,4.53,1069:31,,,,,33:25,,,,
"Dominick Welch, St. Bonaventure (Atlantic 10)",,,,,,,,,,,,,,,41.0,157.0,198.0,42.0,2.76,1.27,243.0,4.76,1240:14,,,,37.4,37:35,,3.0,,
"Marco Anthony, Utah (Pac-12)",,,,,,,,,,,,,,,73.0,124.0,197.0,,,,,4.43,,,,,,,,3.0,,
"Tanner Groves, Oklahoma (Big 12)",,,,,,,,,,,,,,,43.0,154.0,197.0,,,,,4.53,,,,,,,,,,
"Elijah Lufile, Oral Roberts (Summit League)",,,,,,,,,,,,,,,97.0,100.0,197.0,,,,,,,,,,,,,6.0,,
"De'Monte Buckingham, UNC Greensboro (SoCon)",,,,,,,,,,,,,,,50.0,146.0,196.0,,2.16,,159.0,4.71,,,,,,,,,,
"Elijah Hutchins-Everett, Austin Peay (OVC)",,,,,,,,,,,,,,,68.0,128.0,196.0,,,,,4.41,,,,,,,,6.0,,
"Khalid Thomas, Portland St. (Big Sky)",,,,,,,,,,,,,,,42.0,154.0,196.0,57.0,,1.84,,4.97,,346.0,,,,,,4.0,,
"Zay Williams, Troy (Sun Belt)",,,,,,,,,,,,,,,50.0,146.0,196.0,,,,,4.87,,,,,,,,,,
"T.J. Bickerstaff, Boston College (ACC)",,,,,,,,,,,,,,,67.0,128.0,195.0,,,,,4.74,,,,,,,,,,
"Vincent Lee, Cal St. Fullerton (Big West)",,,,,,,,,,,,,,,75.0,119.0,194.0,,,,,,,,,,,,,,,
"Brandon  Brown, Ark.-Pine Bluff (SWAC)",,,,,,,,,,,,,,,63.0,130.0,193.0,45.0,,1.67,,4.81,,,,,,,,5.0,,
"Coreyoun Rushin, Chicago St. (WAC)",,,,,,,,,,,,,,,70.0,122.0,192.0,,,,,4.52,,,,,,,,3.0,,
"Wilfried Likayi, Coastal Carolina (Sun Belt)",,,,,,,,,,,,,,,50.0,141.0,191.0,,,,,,,,,,,,,3.0,,
"Chika Nduka, Portland (WCC)",,,,,,,,,,,,,,,73.0,118.0,191.0,,,,,,,,,,,,,3.0,,
"Jeremy Sochan, Baylor (Big 12)",,,,,,,,,,,,,,,59.0,132.0,191.0,,,,,4.4,,,,,,,,,,
"Deaquan Williams, South Carolina St. (MEAC)",,,,,,,,,,,,,,,88.0,103.0,191.0,,,,,,,,,,,,,3.0,,
"Christiaan Jones, Stetson (ASUN)",,,,,,,,,,,,,,,43.0,147.0,190.0,,,,,5.07,,,,,,,,5.0,,
"James Lewis Jr., App State (Sun Belt)",,,,,,,,,,,,,,,85.0,105.0,190.0,,,,,,,,,,,,,,,
"David Skogman, Buffalo (MAC)",,,,,,,,,,,,,,,58.0,132.0,190.0,,,,,4.4,,,,,,,,4.0,,
"Kellon Taylor, McNeese (Southland)",,,,,,,,,,,,,,,83.0,107.0,190.0,,,,,,,,,,,,,5.0,,
"Terence Lewis II, Jackson St. (SWAC)",,,,,,,,,,,,,,,77.0,112.0,189.0,,,,,,,,,,,,,4.0,,
"Francis Lācis, Oral Roberts (Summit League)",,,,,,,,,,,,,,,34.0,154.0,188.0,,,,,5.13,,,,,,,,,,
"Fred Thatch Jr., Saint Louis (Atlantic 10)",,,,,,,,,,,,,,,56.0,132.0,188.0,,,,,,,,,,,,,4.0,,
"Joey Hauser, Michigan St. (Big Ten)",,,,,,,,,,,,,,,51.0,136.0,187.0,,,,,,,,,,,,,,,
"Kris Monroe, N.C. Central (MEAC)",,,,,,,,,,,,,,,50.0,137.0,187.0,,,,,4.42,,,,,,,,3.0,,
"Edward Oliver-Hampton, South Carolina St. (MEAC)",,,,,,,,,,,,,,,66.0,121.0,187.0,,,,,,,,,,,,,3.0,,
"J'Wan Roberts, Houston (AAC)",,,,,,,,,,,,,,,78.0,109.0,187.0,,,,,,,,,,,,,,,
"Airion Simmons, Abilene Christian (WAC)",,,,,,,,,,,,,,,55.0,132.0,187.0,51.0,,1.5,,,,,,,,,,3.0,,
"Caleb McConnell, Rutgers (Big Ten)",,,,,,,,,,,,,,,,,,70.0,,2.19,,,,,,,,,,,,
"Reggie Miller, Abilene Christian (WAC)",,,,,,,,,,,,,,,,,,70.0,,1.94,,,1042:16,,,,,,,,,
"DeWayne Cox, Prairie View (SWAC)",,,,,,,,,,,,,,,,,,68.0,,2.52,,,,,,,,,,,,
"Josh Caldwell, Army West Point (Patriot)",,,,,,,,,,,,,,,,,,67.0,,2.16,,,,352.0,,,,,,,,
"Logan Johnson, Saint Mary's (CA) (WCC)",,,,,,,,,,,,,,,,,,67.0,,1.97,,,1080:17,349.0,,,,,,,,
"Damani McEntire, Bethune-Cookman (SWAC)",,,,,,,,,,,,,,,,,,66.0,,2.28,,,,,,,,,,,,
"Damari Milstead, Cal St. Fullerton (Big West)",,,,,,,,,,,,,,,,,,64.0,,2.0,,,,,,,,,,,,
"Tyler Cochran, Ball St. (MAC)",,,,,,,,,,,,,,,,,,62.0,,2.0,,,,,,,,,,,,
"Khalil Shabazz, San Francisco (WCC)",,,,,,,,,,,,,,,,,,59.0,2.32,1.74,229.0,,1021:12,412.0,,,,,,,,
"Javon Greene, South Fla. (AAC)",,,,,,,,,,,,,,,,,,57.0,,1.9,,,,,,,,,,,,
"Jameer Nelson Jr., Delaware (CAA)",,,,,,,,,,,,,,,,,,57.0,,1.63,,,1145:55,381.0,,,,32:44,,3.0,,
"Jaeden Zackery, Boston College (ACC)",,,,,,,,,,,,,,,,,,57.0,,1.73,,,1134:00,,,,,34:22,,,,
"Ramiir Dixon-Conover, Saint Francis (PA) (NEC)",,,,,,,,,,,,,,,,,,55.0,,2.2,,,,,,,,32:44,3.4,,62.0,1.37
"Trendon Hankerson, NIU (MAC)",,,,,,,,,,,,,,,,,,54.0,2.07,1.8,177.0,,,,,,,33:43,,,,
"Shakeel Moore, Mississippi St. (SEC)",,,,,,,,,,,,,,,,,,54.0,,1.59,,,,,,,,,,,,
"Davion Warren, Texas Tech (Big 12)",,,,,,,,,,,,,,,,,,53.0,,1.43,,,,,,,,,,,,
"Kedrian Johnson, West Virginia (Big 12)",,,,,,,,,,,,,,,,,,52.0,,1.62,,,,,,,,,,,,
"Jalon Pipkins, Purdue Fort Wayne (Horizon)",,,,,,,,,,,,,,,,,,52.0,,1.58,,,,365.0,,45.2,,,,,,
"Daejon Davis, Washington (Pac-12)",,,,,,,,,,,,,,,,,,51.0,,1.96,,,,,,,,,,,,
"Cooper Robb, Eastern Ky. (ASUN)",,,,,,,,,,,,,,,,,,51.0,2.03,1.65,173.0,,,,,,,,,,,
"Kyle Cardaci, Coppin St. (MEAC)",,,,,,,,,,,,,,,,,,50.0,2.0,1.56,209.0,,,,,,,,,,,
"Cyrus Largie, FGCU (ASUN)",,,,,,,,,,,,,,,,,,50.0,,1.47,,,,,,,,,,,,
"Mike Okauru, UNCW (CAA)",,,,,,,,,,,,,,,,,,50.0,,1.39,184.0,,1130:10,379.0,,,,,,,,
"Hakim Hart, Maryland (Big Ten)",,,,,,,,,,,,,,,,,,49.0,,1.53,,,,,,,,,,,,
"JJ Murray, North Texas (C-USA)",,,,,,,,,,,,,,,,,,49.0,,1.53,,,,,,,,,,,,
"Josiah Jeffers, Radford (Big South)",,,,,,,,,,,,,,,,,,48.0,,1.78,,,,,,,,,,,,
"Tremont Robinson-White, East Carolina (AAC)",,,,,,,,,,,,,,,,,,48.0,,1.66,,,,,,,,,,,,
"Wade Taylor IV, Texas A&M (SEC)",,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,
"Rondel Walker, Oklahoma St. (Big 12)",,,,,,,,,,,,,,,,,,48.0,,1.6,,,,,,,,,,,,
"Jaylin Andrews, Loyola Maryland (Patriot)",,,,,,,,,,,,,,,,,,47.0,,1.62,,,1031:50,350.0,,,,35:35,,,,
"Jaden Campbell, Samford (SoCon)",,,,,,,,,,,,,,,,,,47.0,1.84,1.47,152.0,,,,,,,,,,,
"Eli Lawrence, Middle Tenn. (C-USA)",,,,,,,,,,,,,,,,,,47.0,,,178.0,,,,,,,,,,,
"Chris Manon, Cornell (Ivy League)",,,,,,,,,,,,,,,,,,47.0,,1.81,,,,,,,,,,,,
"Da'Shawn Phillip, UMES (MEAC)",,,,,,,,,,,,,,,,,,47.0,,1.74,,,,,,,,,3.1,,68.0,1.24
"Pierce Spencer, Nicholls (Southland)",,,,,,,,,,,,,,,,,,47.0,,1.57,,,,,,,,,,,,
"Lamont Butler, San Diego St. (Mountain West)",,,,,,,,,,,,,,,,,,46.0,,1.7,,,,,,,,,,,,
"Umoja Gibson, Oklahoma (Big 12)",,,,,,,,,,,,,,,,,,46.0,2.63,1.31,236.0,,1124:24,,,,39.0,,,,,
"De'Vion Harmon, Oregon (Pac-12)",,,,,,,,,,,,,,,,,,46.0,,1.31,,,1098:50,,,,,,,,,
"Jahlil Jenkins, Stony Brook (America East)",,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,
"Jayden Nunn, VCU (Atlantic 10)",,,,,,,,,,,,,,,,,,46.0,,1.48,,,,,,,,,,,,
"Jordan Cintron, Niagara (MAAC)",,,,,,,,,,,,,,,,,,45.0,,1.5,,,,,,,,,,,,
"Keshawn Curry, VCU (Atlantic 10)",,,,,,,,,,,,,,,,,,45.0,,1.41,,,,,,,,,,,,
"Michael Ertel, UAB (C-USA)",,,,,,,,,,,,,,,,,,45.0,1.94,1.32,166.0,,,,,,,,,,,
"Andre Gordon, Texas A&M (SEC)",,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,
"Elijah Hardy, CSUN (Big West)",,,,,,,,,,,,,,,,,,45.0,,1.5,,,,365.0,,,,,,,,
"Kyrell Luc, Holy Cross (Patriot)",,,,,,,,,,,,,,,,,,45.0,,1.45,,,,370.0,,,,32:14,,,,
"JJ Overton, Weber St. (Big Sky)",,,,,,,,,,,,,,,,,,45.0,,1.36,,,,,,,,,,,,
